"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"ST","2024-07-29","85","-2.12","5.21","Judge, Aaron",592450,554430,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (38) on a fly ball to left field.","R","R","R","PHI","NYY","X",,"fly_ball",1,0,2024,"1.3","0.44","0.19","3.05",,,,2,1,"Top",36.29,60.66,,,592663,,,2.8389167382866023,-123.85057227769157,0.39658593794840147,12.737133597458936,25.464021745352657,-27.91378617143465,"4.07","1.85",406,"105",35,"85.9",2663,"6.9",745547,554430,592663,547180,681082,664761,607208,669720,669016,592206,"53.64",0.737,1.501,"2",1,0,3,6,3,2,"Sweeper",0,0,0,0,1,0,1,0,"Standard","Standard",69,"-0.104","0.984","78.38949","8.30768"
"FF","2024-07-27","93.1","-1.3","5.95","Judge, Aaron",592450,676710,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (37) on a fly ball to left center field.","R","R","R","BOS","NYY","X",,"fly_ball",1,0,2024,"-0.65","1.63","-0.15","3.22",,,,0,1,"Top",61.46,35.92,,,657136,,,4.392011061287373,-135.40586033004638,-4.769783162404924,-9.026513008032243,31.130754807651023,-11.351625969583651,"4.08","1.85",432,"110.6",33,"92.8",2543,"6.2",746931,676710,657136,642086,666152,646240,678882,641933,680776,677800,"54.26",0.969,2,"2",1,0,3,6,3,2,"4-Seam Fastball",0,2,2,0,3,0,3,0,"Strategic","Standard",207,"-0.08","0.966","76.11482","8.27703"
"FC","2024-07-26","92.6","-3.04","5.63","Judge, Aaron",592450,677161,"home_run","hit_into_play",,,,,8,"Aaron Judge homers (36) on a fly ball to center field.   Oswaldo Cabrera scores.    Juan Soto scores.","R","R","R","BOS","NYY","X",,"fly_ball",0,0,2024,"0.24","0.86","-0.05","2.45",,665828,665742,1,7,"Top",122.19,8.21,,,657136,,,7.217777426839181,-134.7837159744877,-4.264102811647324,1.3918416467485093,27.83555822713875,-20.983533418513183,"4.06","1.83",470,"114.4",26,"93.9",2442,"6.9",746933,677161,657136,642086,663853,646240,678882,608701,680776,641933,"53.57",0.999,2,"2",1,0,3,6,62,1,"Cutter",4,3,3,4,6,4,6,4,,,204,"-0.436","2.338","78.49329","8.04883"
"ST","2024-07-21","79.7","-1.22","6.16","Judge, Aaron",592450,592094,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (35) on a fly ball to left field.   Oswaldo Cabrera scores.    Juan Soto scores.","R","R","R","NYY","TB","X",,"fly_ball",2,2,2024,"1.14","-0.45","-0.18","3.16",,665828,665742,1,7,"Bot",42.37,52.69,,,666163,,,0.16546346932930836,-116.0472132541422,1.000845751955045,10.23498911096247,21.658950613330656,-36.64071677720806,"4.05","1.79",444,"112.6",38,"80.3",2725,"6.7",745722,592094,666163,670623,680700,676609,670764,668227,642350,676356,"53.84",0.854,2,"2",1,0,3,6,58,5,"Sweeper",0,5,0,5,5,3,3,5,"Infield shade","Standard",40,"0.117","2.394","83.70878","8.3176"
"CH","2024-07-13","84.1","-2.57","5.39","Judge, Aaron",592450,680570,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (34) on a fly ball to center field.","R","R","R","BAL","NYY","X",,"fly_ball",2,2,2024,"-0.75","-0.04","-0.07","2.85",,,,1,5,"Top",110.18,25.14,,,668939,,,7.447629639178376,-122.3491382730453,0.593306459148919,-8.978536564935379,22.570115155268894,-32.913456934866765,"4.04","1.81",431,"112.9",37,"86.1",1638,"7.4",747013,680570,668939,663624,676059,602104,683002,669720,681297,623993,"53.08",0.906,2,"2",1,0,3,6,39,5,"Changeup",1,5,5,1,6,1,6,1,"Standard","Strategic",262,"-0.041","1.02","77.27241","8.02929"
"CU","2024-07-12","77.5","1.95","5.87","Judge, Aaron",592450,700249,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (33) on a fly ball to left center field.","R","R","L","BAL","NYY","X",,"fly_ball",0,2,2024,"-1.03","-1.08","0.26","2.65",,,,0,3,"Top",62.35,51.28,,,668939,,,-1.72362135887564,-112.82410776773047,2.0827497145252534,-8.388069735761228,22.636136601623242,-42.01938665106698,"4.04","1.85",397,"107.4",35,"77.1",2467,"6.2",747012,700249,668939,663624,676059,602104,683002,677008,656775,623993,"54.31",0.829,1.618,"2",1,0,3,6,22,3,"Curveball",1,2,2,1,3,1,3,1,"Standard","Standard",316,"-0.104","1.082","85.4588","8.77148"
"SI","2024-07-02","93.2","2.22","5.06","Judge, Aaron",592450,594580,"home_run","hit_into_play",,,,,8,"Aaron Judge homers (32) on a fly ball to left field.","R","R","L","NYY","CIN","X",,"fly_ball",0,0,2024,"1.48","0.16","-0.16","2.33",,,,2,7,"Bot",32.53,75.78,,,663886,,,-9.092811809348373,-135.45677257463367,-1.5754436953125017,20.22059733162641,28.707337851794108,-30.118974332218404,"4.04","1.83",381,"112.5",25,"90.8",2463,"4.8",745730,594580,663886,668715,663697,682622,682829,605361,656413,666181,"55.68",0.997,2.013,"2",1,0,3,6,62,1,"Sinker",3,5,3,5,5,4,4,5,"Standard","Standard",111,"0.125","1","78.22739","8.72559"
"FF","2024-06-30","94.5","-2.36","5.75","Judge, Aaron",592450,592332,"home_run","hit_into_play",,,,,4,"Aaron Judge homers (31) on a fly ball to center field.   Juan Soto scores.","R","R","R","TOR","NYY","X",,"fly_ball",1,0,2024,"-1.26","1.58","-0.36","2.97",,,665742,1,1,"Top",129.75,27.62,,,643376,,,8.05060913352791,-137.2315662831116,-5.00031610231408,-17.750269015722406,35.07814853425603,-11.396695075349381,"4.04","1.83",423,"109.8",36,"94.2",2193,"6.6",744916,592332,643376,665489,687462,676391,643396,662139,595281,543807,"53.94",0.909,1.842,"2",1,0,3,6,3,2,"4-Seam Fastball",0,0,0,0,2,0,2,0,"Standard","Standard",220,"-0.174","1.649","77.14123","8.08966"
"ST","2024-06-26","81","3.64","5.04","Judge, Aaron",592450,664849,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (30) on a fly ball to left field.   Juan Soto scores.","R","R","L","NYM","NYY","X",,"fly_ball",1,2,2024,"-1.77","0.11","-0.22","2.83",,,665742,0,6,"Top",28.26,69.01,,,682626,,,-5.212366546404484,-117.842996531405,1.5789304273989007,-15.148114373681665,25.613795266156494,-31.740336071914832,"4.05","1.83",400,"112.3",25,"80.2",2801,"6.1",745808,664849,682626,624413,643446,668901,596019,607043,664056,621438,"54.44",0.997,2.013,"2",1,0,3,6,49,4,"Sweeper",7,0,0,7,2,7,2,7,"Standard","Standard",296,"-0.023","1.669","79.11681","8.34769"
"FF","2024-06-25","98.9","-1.79","5.74","Judge, Aaron",592450,657585,"home_run","hit_into_play",,,,,5,"Aaron Judge hits a grand slam (29) to center field.   Trent Grisham scores.    Austin Wells scores.    Juan Soto scores.","R","R","R","NYM","NYY","X",,"fly_ball",0,2,2024,"-0.69","1.43","0.22","2.77",663757,669224,665742,2,8,"Top",168.1,47.15,,,682626,,,7.06580138449513,-143.7209181435141,-5.922048246240801,-11.351301220478451,36.74715497987777,-11.125148367164835,"4.05","1.83",390,"109.4",41,"98.3",2437,"6.2",745806,657585,682626,624413,643446,668901,596019,607043,664056,621438,"54.26",0.563,1.138,"2",1,0,3,6,74,3,"4-Seam Fastball",9,3,3,9,7,9,7,9,"Strategic","Standard",226,"-0.059","3.528","80.72085","8.41236"
