"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"SI","2024-10-30","98.9","-1.42","6.5","Judge, Aaron",592450,660813,,"swinging_strike",,,,,1,"Aaron Judge walks.   Juan Soto to 2nd.","W","R","R","NYY","LAD","S",,,1,1,2024,"-1.28","0.82","-0.37","3.64",,,665742,0,6,"Bot",,,,,669257,,,5.769062580157199,-143.94649688304284,-4.232012376333477,-19.18059707336678,32.65349778435287,-20.020391762402504,"4.01","1.84",,,,"98",2096,"5.7",775296,660813,669257,518692,666158,571970,669242,606192,571771,605141,"54.79",,,,,,,,57,3,"Sinker",5,5,5,5,5,5,5,5,"Standard","Standard",218,"0","-0.074","74.41741","6.46838"
"SL","2024-10-30","88.7","-1.83","6.32","Judge, Aaron",592450,660813,,"called_strike",,,,,8,"Aaron Judge walks.   Juan Soto to 2nd.","W","R","R","NYY","LAD","S",,,1,0,2024,"0.39","0.22","0.19","2.47",,,665742,0,6,"Bot",,,,,669257,,,4.060098362643425,-129.1773748242107,-3.794570352659219,3.5142886866405205,26.187509495534968,-29.181137817922142,"3.99","1.86",,,,"87.5",2318,"5.4",775296,660813,669257,518692,666158,571970,669242,606192,571771,605141,"55.09",,,,,,,,57,2,"Slider",5,5,5,5,5,5,5,5,"Standard","Standard",135,"0","-0.074",,
"SI","2024-10-30","98","-1.53","6.52","Judge, Aaron",592450,660813,,"ball",,,,,11,"Aaron Judge walks.   Juan Soto to 2nd.","W","R","R","NYY","LAD","B",,,0,0,2024,"-1.34","0.74","-1.67","3.49",,,665742,0,6,"Bot",,,,,669257,,,2.690864220004094,-142.76149937419845,-4.378661842384411,-18.98425437475419,32.89801894807869,-21.250008742062693,"4.01","1.86",,,,"96.9",2010,"5.6",775296,660813,669257,518692,666158,571970,669242,606192,571771,605141,"54.88",,,,,,,,57,1,"Sinker",5,5,5,5,5,5,5,5,"Standard","Standard",222,"0","0.062",,
"CU","2024-10-29","81.2","-0.93","5.98","Judge, Aaron",592450,689017,"field_out","hit_into_play",,,,,4,"Aaron Judge flies out to center fielder Enrique Hernández.","W","R","R","NYY","LAD","X",8,"fly_ball",3,2,2024,"0.69","-1.43","-0.49","2.89",,,,0,7,"Bot",122.86,65.08,,,669257,,,-0.3125764757107512,-118.13507487296918,2.4551905109775745,6.457875858429431,24.946329606093126,-46.17859164338981,"4.02","1.83",333,"92.6",36,"80",2974,"5.7",775297,689017,669257,518692,666158,571970,669242,606192,571771,605141,"54.78",0.077,0.149,"0",1,0,0,3,59,6,"Curveball",6,4,6,4,4,6,6,4,"Standard","Standard",34,"-0.01","-0.299","72.03048","7.42484"
"FF","2024-10-29","94.3","-0.8","5.82","Judge, Aaron",592450,689017,,"ball",,,,,14,"Aaron Judge flies out to center fielder Enrique Hernández.","W","R","R","NYY","LAD","B",,,2,2,2024,"-0.67","1.59","1.25","2.63",,,,0,7,"Bot",,,,,669257,,,6.783575760687235,-137.07911428451933,-6.075378769595753,-10.03007756498803,31.880541732214553,-10.929035207299366,"4.02","1.86",,,,"93.6",2378,"6",775297,689017,669257,518692,666158,571970,669242,606192,571771,605141,"54.48",,,,,,,,59,5,"4-Seam Fastball",6,4,6,4,4,6,6,4,"Standard","Standard",205,"0","0.096",,
"FF","2024-10-29","93.8","-0.72","5.84","Judge, Aaron",592450,689017,,"called_strike",,,,,9,"Aaron Judge flies out to center fielder Enrique Hernández.","W","R","R","NYY","LAD","S",,,2,1,2024,"-0.87","1.54","0.56","2.04",,,,0,7,"Bot",,,,,669257,,,5.208290731705079,-136.34947965690495,-7.442289000832937,-12.010486999386098,31.408860576895172,-11.523568569900965,"3.96","1.8",,,,"93",2423,"6",775297,689017,669257,518692,666158,571970,669242,606192,571771,605141,"54.5",,,,,,,,59,4,"4-Seam Fastball",6,4,6,4,4,6,6,4,"Standard","Standard",207,"0","-0.062",,
"CU","2024-10-29","80.6","-0.98","6.09","Judge, Aaron",592450,689017,,"ball",,,,,14,"Aaron Judge flies out to center fielder Enrique Hernández.","W","R","R","NYY","LAD","B",,,1,1,2024,"0.58","-1.44","1.08","0.91",,,,0,7,"Bot",,,,,669257,,,3.453199278847241,-117.18601503167405,-1.9652810404727856,4.447045508381855,26.363134522646007,-45.104663638047384,"3.91","1.74",,,,"79.1",2960,"5.7",775297,689017,669257,518692,666158,571970,669242,606192,571771,605141,"54.79",,,,,,,,59,3,"Curveball",6,4,6,4,4,6,6,4,"Standard","Standard",25,"0","0.048",,
"CU","2024-10-29","80.2","-0.8","6","Judge, Aaron",592450,689017,,"ball",,,,,14,"Aaron Judge flies out to center fielder Enrique Hernández.","W","R","R","NYY","LAD","B",,,0,1,2024,"0.51","-1.47","0.67","1.68",,,,0,7,"Bot",,,,,669257,,,2.26622585685951,-116.69528144667206,0.06668856293583647,4.114620680006378,26.42210978747326,-45.68211545097932,"3.91","1.85",,,,"78.8",3062,"5.8",775297,689017,669257,518692,666158,571970,669242,606192,571771,605141,"54.74",,,,,,,,59,2,"Curveball",6,4,6,4,4,6,6,4,"Standard","Standard",27,"0","0.023",,
"FF","2024-10-29","92.9","-0.85","5.88","Judge, Aaron",592450,689017,,"called_strike",,,,,14,"Aaron Judge flies out to center fielder Enrique Hernández.","W","R","R","NYY","LAD","S",,,0,0,2024,"-0.49","1.68","0.86","2.65",,,,0,7,"Bot",,,,,669257,,,5.429419839506239,-134.90726725250988,-6.012918011520489,-7.343534046089616,34.759941414727365,-10.61251020132,"4.04","1.86",,,,"91.7",2422,"6.1",775297,689017,669257,518692,666158,571970,669242,606192,571771,605141,"54.41",,,,,,,,59,1,"4-Seam Fastball",6,4,6,4,4,6,6,4,"Standard","Standard",202,"0","-0.033",,
"SL","2024-10-29","85.9","-1.19","6.23","Judge, Aaron",592450,641703,"single","hit_into_play",,,,,5,"Aaron Judge singles on a sharp line drive to left fielder Teoscar Hernández.   Juan Soto scores.","W","R","R","NYY","LAD","X",7,"line_drive",1,1,2024,"0.6","0.17","0.2","2.65",,665742,,1,8,"Bot",58.6,107.56,,,669257,,,2.0636495092713023,-125.02705991036328,-2.5492750815448373,5.8433269899192055,26.176155183272424,-30.09239790715622,"4.02","1.83",281,"107.8",18,"85.7",2466,"6.3",775297,641703,669257,518692,666158,571970,669242,606192,571771,605141,"54.25",0.766,1.009,"0.9",1,1,0,6,71,3,"Slider",10,4,10,4,4,11,11,4,"Standard","Standard",137,"0.001","0.7","78.6828","8.60983"
